"Blade_Name","Blade_Speed","Blade_Spin","Blade_Control","Blade_Power","Blade_Level","Blade_Style","Blade_Price","Blade_Weight","Blade_Grip","Blade_Description","Blade_Image","Blade_Stiffness","Blade_Material","Blade_Brand"
"Butterfly Viscaria","92","88","75","92","Advanced","Offensive","150","85","FL, ST","The gold standard for modern offensive play. Viscaria's Koto outer ply and ALC fiber provide the crisp, powerful, and consistent benchmark used by countless professionals.","","78","Outer-Carbon","Butterfly"
"Butterfly Timo Boll ALC","93","87","74","93","Advanced","Offensive","150","85","FL, ST","Based on the Viscaria construction but with a slightly sharper, stiffer feel. It is optimized for close-to-the-table counter-looping and precise, powerful attacks.","","80","Outer-Carbon","Butterfly"
"DHS Hurricane Long 5","95","89","76","95","Advanced","Offensive","150","85","FL, ST","The ultimate ""Innerforce"" ALC blade. Limba outer plies over a carbon core offer massive dwell time and safety for slow loops, unlocking devastating power on full-force strokes.","","70","Inner-Carbon","DHS"
"Stiga Clipper Wood","86","95","82","86","Advanced","Offensive","80","85","FL, ST","The legendary all-wood powerhouse. Known for its thick composition and solid feel, it provides incredible control for blocking and driving, making it the perfect choice for traditional power players.","","75","All-Wood","Stiga"
"Nittaku Acoustic","78","99","90","78","Intermediate","All-Round","80","85","FL, ST","Built using acoustic instrument manufacturing techniques. The special gluing process gives it unique ""feedback"" and flexibility, offering unparalleled control and spin for technical, loop-focused players.","","60","All-Wood","Nittaku"
"Butterfly Innerforce Layer ALC","89","93","80","89","Advanced","Offensive","80","85","FL, ST","Butterfly's answer to the Inner-carbon demand. This blade acts like a controllable 5-ply wood on soft contact but activates the ALC core for powerful, safe looping on strong attacks.","","68","Inner-Carbon","Butterfly"
"Stiga Carbonado 145","94","85","72","94","Advanced","Offensive","150","85","FL, ST","A high-tech beast using unique TeXtreme flat-weave carbon. The 145 angle provides a wider sweet spot and a flatter, more direct trajectory for aggressive smashers and drivers.","","85","Outer-Carbon","Stiga"
"Xiom Stradivarius","91","89","76","91","Advanced","Offensive","150","85","FL, ST","A high-value alternative to the Viscaria class. The Aramid Carbon (a slightly softer ALC variant) over Koto provides a crisp, responsive feel for dynamic all-round offensive play.","","76","Outer-Carbon","Xiom"
"Butterfly Primorac Carbon","98","73","60","98","Advanced","Offensive","150","85","FL, ST","A pure speed legend. Thick Cypress outer plies combined with T5000 carbon make this one of the stiffest and fastest blades ever made, perfect for flat hitters and blockers.","","95","Outer-Carbon","Butterfly"
"Donier Balsa 14.5","84","98","85","84","Intermediate","All-Round","80","85","FL, ST","The lightweight touch specialist. A thick Balsa core offers a unique low-gear control for short-game precision, while the fiberglass layers give surprising power on put-away shots.","","70","Inner-Carbon","Donier"
"Nittaku Violin","75","99","94","75","Beginner","All-Round","80","85","FL, ST","The ultimate control blade. White Ash outer plies and special instrument gluing give the highest dwell time among all-wood blades, making it the spin-master's dream.","","55","All-Wood","Nittaku"
"Butterfly Mazunov","88","91","78","88","Advanced","Offensive","80","85","FL, ST","An anomaly—a heavy, stiff, 5-ply wood that rivals many carbon blades in speed. Its unique Planchonello outer plies create a massive ""catapult effect"" for traditional, mid-distance power loops.","","82","All-Wood","Butterfly"
"Stiga Infinity VPS V","83","99","86","83","Intermediate","All-Round","80","85","FL, ST","Custom-treated ""Diamond Touch"" Limba plies. This VPS technology hardens the outer surface, giving the control of a 5-ply wood with a crispness that supports the modern, poly-ball loop game.","","65","All-Wood","Stiga"
"Joola Rossi Emotion","87","97","84","87","Advanced","Offensive","80","85","FL, ST","A hidden gem in the Inner-carbon category. Its extremely soft Hinoki outer plies provide luxurious touch, while the inner carbon layers give strong, dynamic speed when needed.","","62","Inner-Carbon","Joola"
"Butterfly Timo Boll ZLC","96","81","68","96","Advanced","Offensive","150","85","FL, ST","Zylon/Carbon weave is lighter, stiffer, and more explosive than ALC. This blade offers massive speed and a direct, flat trajectory, rewarding advanced players with precise timing.","","90","Outer-Carbon","Butterfly"
"DHS Hurricane Long 3","87","94","81","87","Advanced","Offensive","80","85","FL, ST","A refined, slightly softer version of the classic Stiga Clipper Wood. This 7-ply all-wood construction offers a perfect balance of control, solid feel, and traditional loop power.","","72","All-Wood","DHS"
"Nittaku Tenaly Acoustic","78","99","90","78","Intermediate","All-Round","80","85","FL, ST","The ultimate ergonomic tool. It uses the award-winning Acoustic construction but with a patented curved handle that automatically aligns the blade angle for a natural, stress-free grip.","","60","All-Wood","Nittaku"
"Butterfly Petr Korbel","76","99","91","76","Intermediate","All-Round","80","85","FL, ST","The benchmark 5-ply Limba looping blade. Thousands of players have developed their game with this blade, which excels at producing massive spin and consistent rallies.","","58","All-Wood","Butterfly"
"Stiga Rosewood NCT V","89","90","77","89","Advanced","Offensive","80","85","FL, ST","Stiga's fastest all-wood blade. Extremely hard Rosewood outer plies combined with NCT technology make this blade stiff and responsive, supporting aggressive driving and smashing.","","85","All-Wood","Stiga"
"Victas Koki Niwa Wood","90","88","75","90","Advanced","Offensive","80","85","FL, ST","Designed for the counter-attack specialist. This unique 7-ply construction uses softer outer plies over a hard core, giving the solid feel needed to absorb and redirect opponent power.","","80","All-Wood","Victas"
"Butterfly Mizutani Jun ZLC","95","83","70","95","Advanced","Offensive","150","85","FL, ST","A direct competitor to the TB ZLC. It utilizes the same explosive ZLC material but is configured for a slightly higher throw angle, making it deadlier for high-speed, mid-distance looping rallies.","","88","Outer-Carbon","Butterfly"
"DHS Power G7","85","96","83","85","Intermediate","All-Round","80","85","FL, ST","A legendary high-value 7-ply wood. It offers a versatile, ""classic"" 7-ply feel, giving strong power for drives and blocks without sacrificing the dwell time needed for strong loops.","","70","All-Wood","DHS"
"Donic Ovtcharov True Carbon","92","87","74","92","Advanced","Offensive","150","85","FL, ST","A direct, high-quality alternative to the Viscaria and TB ALC. Donic uses the identical Koto-ALC construction method, offering the same iconic crisp, versatile, professional offensive power.","","79","Outer-Carbon","Donic"
"Butterfly Gergely","97","75","62","97","Advanced","Offensive","150","85","FL, ST","A speed beast derived from the Primorac Carbon but with a larger, more traditional handle shape. Its T5000/Cypress build is optimized for flat hitting, smashing, and uncompromising offensive pressure.","","93","Outer-Carbon","Butterfly"
"Stiga Ebenholz NCT V","91","88","75","91","Advanced","Offensive","150","85","FL, ST","Stiga's fastest and stiffest all-wood blade, using extremely hard Ebony outer plies. This creates a massive ""rebound effect,"" perfect for players who demand maximum speed and a direct, powerful trajectory.","","88","All-Wood","Stiga"
"Nittaku Ludeack Power","88","92","79","88","Advanced","Offensive","80","85","FL, ST","A refined, stiffer version of the Nittaku Ludeack. This 7-ply wood is built for the post-poly ball era, giving the extra speed needed for power drives and consistent, strong counter-looping.","","78","All-Wood","Nittaku"
"Butterfly Innerforce Layer ZLC","93","88","75","93","Advanced","Offensive","150","85","FL, ST","The ultimate Inner-fiber blend. It features the soft feel and dwell time of a 5-ply wood on soft contact, but activating the powerful, stiff ZLC core unlocks massive, dynamic power on strong loops.","","75","Inner-Carbon","Butterfly"
"DHS Hurricane Hao III","89","93","80","89","Advanced","Offensive","80","85","FL, ST","A unique ""glass-carbon"" mono-core blade. Its thick central carbon layer is designed specifically for the Penhold RPB grip, giving immense power for loop-drives while maintaining incredible touch.","","65","Inner-Carbon","DHS"
"Joola Aruna Off","89","95","82","89","Advanced","Offensive","80","85","FL, ST","A classic Inner-carbon blade. Limba outer plies over a soft carbon core offer massive dwell time and safety for loops, while the inner carbon core provides linear, dynamic power on command.","","66","Inner-Carbon","Joola"
"Butterfly Timo Boll Spirit","91","89","76","91","Advanced","Offensive","150","85","FL, ST","The predecessor to the TB ALC and a legend in its own right. This blade uses the exact Koto-ALC construction that set the benchmark for versatile, controlled-looping offensive power.","","75","Outer-Carbon","Butterfly"
"Andro Treiber Z","93","91","78","93","Advanced","Offensive","150","85","FL, ST","A rare multi-talent. The outer Z-fiber provides a massive sweet spot and a ""crispy"" feel that excels at both aggressive counter-loops and solid, constant blocks.","","82","Outer-Carbon","Andro"
"Gewo Aruna Carbon 2","94","86","73","94","Advanced","Offensive","150","85","FL, ST","Built for the explosive style of Quadri Aruna. This blade uses high-energy carbon layers to maximize ball acceleration, making it a weapon for players who dominate with raw power.","","84","Outer-Carbon","Gewo"
"Victas Koki Niwa ZC","96","85","72","96","Advanced","Offensive","150","85","FL, ST","A high-speed masterpiece. The Z-Carbon placement offers extreme stability and a direct trajectory, specifically designed for Koki Niwa's signature close-to-the-table ""artistic"" counters.","","88","Outer-Carbon","Victas"
"Donic Ovtcharov Senso V1","89","91","78","89","Advanced","Offensive","80","85","FL, ST","A walnut-outer 7-ply beast. Donic’s Senso technology (hollow handle) shifts the balance toward the head, providing unbelievable power for smashes while maintaining wood-like feedback.","","80","All-Wood","Donic"
"Yasaka Rakza 7 Carbon","88","97","84","88","Advanced","Offensive","80","85","FL, ST","The ultimate synergy blade. By placing carbon on the core, Yasaka created a blade that behaves like a 5-ply wood on touch shots but provides a carbon ""kick"" during high-impact loops.","","65","Inner-Carbon","Yasaka"
"Andro Gauzy HL5","91","92","79","91","Advanced","Offensive","150","85","FL, ST","Designed by Simon Gauzy. It prioritizes creativity and feeling over ""brute"" speed. The KVL carbon stabilizes the blade, reducing vibration without killing the natural dwell time of the wood.","","74","Outer-Carbon","Andro"
"Gewo Force ARC Off","92","88","75","92","Advanced","Offensive","150","85","FL, ST","A direct rival to the ALC class. The Aramid Carbon weave creates a balanced hardness that is optimized for speed-oriented topspin players who want to dominate the first three balls.","","79","Outer-Carbon","Gewo"
"Tibhar Shang Kun Hybrid ZC","94","90","77","94","Advanced","Offensive","150","85","FL, ST","The inner Zylon-Carbon construction offers a unique ""hold-and-release"" feel. It is one of the most powerful inner-fiber blades on the market, perfect for massive mid-distance looping.","","72","Inner-Carbon","Tibhar"
"Victas Swat Power","88","94","81","88","Advanced","Offensive","80","85","FL, ST","One of the most popular 7-ply blades in Japan. It is stiffer than a Clipper but maintains a ""soft"" impact feel, making it incredible for the high-tension rubber era.","","76","All-Wood","Victas"
"Stiga Inspira Hybrid Carbon","95","87","74","95","Advanced","Offensive","150","85","FL, ST","Stiga’s modern speed king. The hybrid carbon provides a wider sweet spot than traditional ALC, making it extremely reliable during high-speed, off-center exchanges.","","86","Outer-Carbon","Stiga"
"Andro Kanter FO","90","95","82","90","Advanced","Offensive","80","85","FL, ST","A 6mm Balsa core creates a ""weightless"" feel. It offers massive speed in the ""top gear"" but remains surprisingly easy to control during short-game pushes and blocks.","","70","Inner-Carbon","Andro"
"Gewo In-Force ARC Off-","87","98","85","87","Advanced","Offensive","80","85","FL, ST","The tamer brother of the Force ARC. The inner placement provides a flexible feel that is ideal for spin-oriented attackers who use hybrid or sticky rubbers.","","62","Inner-Carbon","Gewo"
"Yasaka Ma Lin Soft Carbon","82","99","88","82","Intermediate","All-Round","80","85","FL, ST","The benchmark for ""control carbon."" It adds just enough stability to a 5-ply wood to increase the sweet spot without sacrificing the legendary Ma Lin ""touch.""","","55","Inner-Carbon","Yasaka"
"Tibhar Bernadette Szocs Signature","85","97","84","85","Intermediate","All-Round","80","85","FL, ST","A high-feeling 7-ply wood. It is designed for consistency and placement, offering a solid ""thud"" on contact that builds confidence in high-pressure rallies.","","70","All-Wood","Tibhar"
"Victas ZX-Gear Out","94","87","74","94","Advanced","Offensive","150","85","FL, ST","Utilizing Zexion fiber, this blade offers a unique elasticity. It feels less ""dead"" than traditional carbon blades, providing more energy return on mid-power loops.","","83","Outer-Carbon","Victas"
"Donic Waldner Senso Carbon","84","99","89","84","Intermediate","All-Round","80","85","FL, ST","The ""Maestro's"" choice. The inner carbon plies combined with the Senso handle offer the most sensitive ball feedback in the carbon category.","","58","Inner-Carbon","Donic"
"Andro Ligna F.R. OFF","79","99","92","79","Intermediate","All-Round","80","85","FL, ST","Cold-pressed wood manufacturing. This blade offers a distinct ""acoustic"" resonance that technical players use to gauge the exact spin on the ball.","","60","All-Wood","Andro"
"Gewo Sensus Carbo Speed","96","81","68","96","Advanced","Offensive","150","85","FL, ST","An uncompromising speed machine. Hard wood veneers over a stiff carbon layer prioritize flat hitting and aggressive ""kill"" shots.","","92","Outer-Carbon","Gewo"
"Yasaka Falck Carbon","93","89","76","93","Advanced","Offensive","150","85","FL, ST","Developed for Mattias Falck. It provides the stability needed for short-pips attacking while offering enough flex for his heavy topspin forehand.","","80","Outer-Carbon","Yasaka"
"Tibhar Fortino Pro","95","86","73","95","Advanced","Offensive","150","85","FL, ST","Utilizing Dyneema (the world’s strongest fiber), this blade offers a unique ""vibration-free"" power that feels incredibly stable during high-speed exchanges.","","75","Inner-Carbon","Tibhar"
"Victas Liam Pitchford","95","84","71","95","Advanced","Offensive","150","85","FL, ST","A power-hitting tool. It is optimized for the modern, high-intensity backhand flick and aggressive counter-looping style favored by Pitchford.","","87","Outer-Carbon","Victas"
"Donic Burn OFF","87","93","80","87","Advanced","Offensive","80","85","FL, ST","The wood is ""burned"" at high temperatures to remove moisture and increase stiffness. This creates a fast, lightweight, all-wood blade with a unique crisp sound.","","78","All-Wood","Donic"
"Andro Gauzy SL OFF","90","90","77","90","Advanced","Offensive","80","85","FL, ST","The Ebony outer plies make this one of the hardest all-wood blades available. It is designed for direct, linear power without the ""artificial"" feel of carbon.","","88","All-Wood","Andro"
"Gewo Zoom Pro","76","99","93","76","Intermediate","All-Round","80","85","FL, ST","The classic ""learning"" blade. It provides the perfect feedback loop for developing players to master their stroke mechanics before moving to carbon.","","55","All-Wood","Gewo"
"Stiga Cybershape Carbon","93","91","78","93","Advanced","Offensive","150","85","FL, ST","The hexagonal shape isn't just a gimmick—it increases the sweet spot in the hitting area. The inner carbon provides a massive ""hold"" for high-arc loops.","","72","Inner-Carbon","Stiga"
"Yasaka Alnade","91","90","77","91","Advanced","Offensive","150","85","FL, ST","A hidden gem. It uses PA Carbon (similar to ALC) but with a slightly softer touch, making it a very accessible ""pro-level"" offensive blade.","","77","Outer-Carbon","Yasaka"
"Tibhar Samsonov Force Pro","87","95","82","87","Advanced","Offensive","80","85","FL, ST","Vladimir Samsonov’s choice for years. It is a slightly faster version of the Clipper, offering a solid and dependable feel for allround-offensive players.","","74","All-Wood","Tibhar"
"Victas Dyna Five","74","99","95","74","Beginner","Allround","80","85","FL, ST","Pure control. This blade is designed for players who win through variation and placement rather than speed. Perfect for technical ""touch"" players.","","50","All-Wood","Victas"
"Donic Crest OFF","94","88","75","94","Advanced","Offensive","150","85","FL, ST","A complex 9-ply construction. The thin veneers provide a ""luxury"" feeling with a huge sweet spot and linear power delivery.","","85","Outer-Carbon","Donic"
"Andro TP Ligna ALL","70","99","98","70","Beginner","Allround","80","85","FL, ST","The ultimate precision tool. Each blade is weighed and tested to ensure the highest level of ball-feeling and control for tactical allrounders.","","45","All-Wood","Andro"
"Andro Timber 7 OFF","85","96","83","85","Intermediate","All-Round","80","85","FL, ST","The pure-wood alternative to carbon. It offers a solid, vibration-free contact that is perfect for players transitioning from beginner setups to competitive league play.","","74","All-Wood","Andro"
"Gewo Balsa Carbon 575","89","97","84","89","Advanced","Offensive","80","85","FL, ST","A masterpiece of weight-to-power ratio. The 5.75mm balsa core makes it incredibly light, while the carbon layers ensure the stability needed for modern offensive topspin.","","68","Inner-Carbon","Gewo"
"Yasaka Ma Lin Extra Off","83","99","87","83","Intermediate","All-Round","80","85","FL, ST","One of the most successful blades in history. The hard walnut outer plies provide a crisp ""crack"" on impact, making it the king of mid-distance looping and blocking.","","72","All-Wood","Yasaka"
"Donic Waldner Exclusive","72","99","95","72","Beginner","Allround","80","85","FL, ST","The ultimate development tool. Designed for precision over power, it forces the player to develop correct technique while providing massive safety on every stroke.","","48","All-Wood","Donic"
"Victas Swat","84","99","86","84","Intermediate","All-Round","80","85","FL, ST","Japan’s best-selling 7-ply wood. It has a ""soft"" 7-ply feel that provides a massive sweet spot and incredible consistency for the controlled-offensive player.","","70","All-Wood","Victas"
"Tibhar Samsonov Alpha","78","99","91","78","Intermediate","All-Round","80","85","FL, ST","A slightly smaller head shape makes this blade incredibly maneuverable. It is a legendary ""touch"" blade for players who win with placement and heavy spin.","","55","All-Wood","Tibhar"
"Stiga Allround Classic C","79","99","92","79","Intermediate","All-Round","80","85","FL, ST","The modern update to the world’s most famous blade. The carbon adds just enough stability for the poly-ball without losing the legendary Stiga ""feeling.""","","60","Inner-Carbon","Stiga"
"Andro Inizio","70","99","97","70","Beginner","Allround","80","85","FL, ST","A high-quality entry-level competitive blade. It offers the linear feedback necessary for learning how to read incoming spin and execute controlled counters.","","45","All-Wood","Andro"
"Joola Rossi Allround","74","99","94","74","Beginner","Allround","80","85","FL, ST","Named after the legend Mr. Rossi. This blade is optimized for a balanced game, offering a ""safety first"" approach for tactical players.","","50","All-Wood","Joola"
"Gewo Zoom Pro Off-","81","99","88","81","Intermediate","All-Round","80","85","FL, ST","Often called the ""Korbel Killer."" It offers a very similar feel to high-end Butterfly wood blades but with a slightly more modern, crisp finish.","","62","All-Wood","Gewo"
"Yasaka Sweden Extra","75","99","96","75","Beginner","All-Round","80","85","FL, ST","Produced in the famous factory in Huskvarna. This blade is the gold standard for ""feeling,"" used by pros and amateurs alike to master the short game.","","52","All-Wood","Yasaka"
"Donic Persson Powerplay","87","93","80","87","Advanced","Offensive","80","85","FL, ST","A unique construction using two thin dampening foils. This gives it 7-ply speed with a 5-ply feel, perfect for aggressive driving and smashing.","","78","All-Wood","Donic"
"Tibhar Stratus Power Wood","84","98","85","84","Intermediate","All-Round","80","85","FL, ST","A modern offensive wood blade that mimics the feel of the Korbel but with a slightly larger sweet spot and more ""kick"" for mid-distance play.","","65","All-Wood","Tibhar"
"Sanwei Target 7","91","89","76","91","Advanced","Offensive","150","85","FL, ST","The best ""budget Viscaria"" clone. For under $50, you get a high-quality Koto-ALC construction that provides professional-grade speed and stiffness.","","82","Outer-Carbon","Sanwei"
"Palio TCT","95","83","70","95","Advanced","Offensive","150","85","FL, ST","A technical anomaly. The titanium/carbon weave creates an incredibly stiff surface that is perfect for long-pips players or flat-hitting attackers.","","90","Outer-Carbon","Palio"
"Xiom Offensive S","82","98","86","82","Intermediate","All-Round","80","85","FL, ST","A classic offensive blade with a refined finish. It offers a very linear speed progression, making it a predictable and reliable partner for topspin rallies.","","64","All-Wood","Xiom"
"Andro Timber 5 ALL/S","75","99","94","75","Beginner","All-Round","80","85","FL, ST","The Koto outer ply gives this allround blade a ""pro"" feel. It’s perfect for the technical player who wants carbon-like precision in an all-wood build.","","58","All-Wood","Andro"
"Gewo Neofaxx Off","84","95","82","84","Intermediate","All-Round","80","85","FL, ST","Specifically designed for the ""Neofaxx"" rubber series. It’s a balanced offensive blade that excels at high-arc looping and safe opening attacks.","","66","All-Wood","Gewo"
"Donic Appelgren Allplay","68","99","98","68","Beginner","Allround","80","85","FL, ST","The ultimate ""control"" blade. If you can't control the ball with this, it’s not the equipment’s fault. It is a defensive and tactical masterpiece.","","40","All-Wood","Donic"
"Victas Award Offensive","81","99","87","81","Intermediate","All-Round","80","85","FL, ST","A high-quality Japanese-designed blade that focuses on ""easy-to-play"" metrics. It has a soft touch that makes blocking feel effortless.","","60","All-Wood","Victas"
"Yasaka Silver All Wood","79","99","91","79","Intermediate","All-Round","80","85","FL, ST","The outer plies are specially treated to be harder than standard wood, providing a ""high-tech"" all-wood feel for a modern, spin-based game.","","70","All-Wood","Yasaka"
"DHS Power G3","83","98","85","83","Intermediate","All-Round","80","85","FL, ST","The 5-ply version of the Power G series. It offers a huge amount of ""flex,"" which translates to massive spin production on slow loops.","","62","All-Wood","DHS"
"Friendship 729 Z-1","82","98","86","82","Intermediate","All-Round","80","85","FL, ST","An incredible budget find. It is often compared to the Stiga Offensive Classic but with a slightly thicker core for better stability in the poly-ball era.","","60","All-Wood","Friendship"
"Yinhe (Galaxy) T-11+","94","85","72","94","Advanced","Offensive","150","85","FL, ST","One of the fastest budget blades in existence. At around 70g, it is a lightning-fast weapon for players who want maximum speed without the weight.","","85","Inner-Carbon","Yinhe"
"Tibhar Drinkhall Allround","74","99","94","74","Beginner","Allround","80","85","FL, ST","Designed by Paul Drinkhall. This blade focuses on the ""all-around offensive"" style—winning through placement, variations, and consistent pressure.","","52","All-Wood","Tibhar"
"Andro Gauzy ALL","72","99","96","72","Beginner","Allround","80","85","FL, ST","Simon Gauzy’s ""entry"" signature blade. It emphasizes the ""art"" of table tennis—touch, spin, and ball-feeling—making it a joy to play with.","","50","All-Wood","Andro"
"Gewo Play Off","80","98","86","80","Intermediate","All-Round","80","85","FL, ST","A no-nonsense offensive blade. It is built to be a reliable ""workhorse"" for club players who need a balanced tool for all aspects of the game.","","60","All-Wood","Gewo"
"Stiga Azalea Allround","76","99","93","76","Intermediate","All-Round","80","85","FL, ST","Inspired by the Japanese culture, this blade offers a ""soft"" feel and a beautiful finish. It is slightly faster than the Allround Classic, fitting the modern game better.","","55","All-Wood","Stiga"
"Donic Burn All+","78","99","92","78","Intermediate","All-Round","80","85","FL, ST","The thermally treated wood gives it a ""seasoned"" feel, providing a consistent bounce and a crisp sound that is rare at this price point.","","65","All-Wood","Donic"
"Sanwei Fextra 7","87","94","81","87","Advanced","Offensive","80","85","FL, ST","Widely regarded as the best budget 7-ply wood on the market. It mimics the Stiga Clipper’s power profile but with a slightly more modern, flexible feel.","","76","All-Wood","Sanwei"