"Rubber_Name","Rubber_Speed","Rubber_Spin","Rubber_Control","Rubber_Power","Rubber_Level","Rubber_Style","Rubber_Price","Rubber_Weight","Rubber_Sponge_Sizes","Rubber_Description","Rubber_Image","Rubber_Hardness","Rubber_ThrowAngle","Rubber_Surface","Rubber_Brand"
"Butterfly Dignics 05","98","99","82","97","Advanced","Normal","93.99","48","1.9mm, 2.1mm","Professional rubber description coming soon","","Hard","High","Grippy","Butterfly"
"Butterfly Tenergy 05","92","97","84","90","Advanced","Normal","79.99","46","1.7mm, 1.9mm, 2.1mm","Professional rubber description coming soon","","Medium","High","Grippy","Butterfly"
"DHS Hurricane 3 Neo","82","99","88","85","Advanced","Normal","29.99","50","2.15mm, 2.2mm","Professional rubber description coming soon","","Hard","Low","Tacky","DHS"
"Tibhar Evolution MX-P","95","94","80","96","Advanced","Normal","59.99","49","1.9mm, 2.1mm","Professional rubber description coming soon","","Mid-Hard","High","Grippy","Tibhar"
"Yasaka Rakza 7","88","92","90","86","Intermediate","Normal","52.95","47","1.8mm, 2.0mm, Max","Professional rubber description coming soon","","Medium","Medium","Grippy","Yasaka"
"Xiom Vega Pro","86","93","89","84","Intermediate","Normal","39.95","48","1.8mm, 2.0mm, Max","Professional rubber description coming soon","","Mid-Hard","High","Grippy","Xiom"
"Andro Rasanter R47","94","93","83","92","Advanced","Normal","51.95","48","1.7mm, 2.0mm, Ultramax","Professional rubber description coming soon","","Mid-Hard","Medium","Grippy","Andro"
"Yasaka Mark V","70","72","96","65","Beginner","Normal","37.95","44","1.5mm, 1.8mm, 2.0mm, Max","Professional rubber description coming soon","","Medium","Low","Grippy","Yasaka"
"Butterfly Rozena","85","88","92","82","Intermediate","Normal","39.99","47","1.7mm, 1.9mm, 2.1mm","Professional rubber description coming soon","","Mid-Soft","Medium","Grippy","Butterfly"
"Nittaku Fastarc G-1","91","96","85","90","Advanced","Normal","49.99","49","1.8mm, 2.0mm","Professional rubber description coming soon","","Hard","High","Grippy","Nittaku"
"Donier Max Attack","75","70","94","72","Beginner","Normal","17.99","43","1.5mm, 1.8mm, 2.0mm","Professional rubber description coming soon","","Medium","Medium","Grippy","Donier"
"Friendship 729 Super FX","65","85","92","60","Beginner","Normal","12.99","48","1.5mm, 1.8mm, 2.0mm","Professional rubber description coming soon","","Hard","Low","Tacky","Friendship"
"Victas V>15 Extra","96","92","81","95","Advanced","Normal","54.99","49","2.0mm, Max","Professional rubber description coming soon","","Hard","Medium","Grippy","Victas"
"Donic Bluefire M2","90","93","86","88","Intermediate","Normal","52.95","48","1.8mm, 2.0mm, Max","Professional rubber description coming soon","","Medium","High","Grippy","Donic"
"Stiga DNA Platinum XH","98","96","79","98","Advanced","Normal","74.95","51","2.1mm, 2.3mm","Professional rubber description coming soon","","Hard","Medium","Grippy","Stiga"
"Gewo Nexxus EL Pro 48","93","94","84","91","Advanced","Normal","57.99","48","1.9mm, 2.1mm, Max","Professional rubber description coming soon","","Mid-Hard","High","Grippy","Gewo"
"Andro GTT 45","78","82","95","74","Beginner","Normal","29.95","42","1.6mm, 1.8mm, 2.0mm","Professional rubber description coming soon","","Mid-Soft","Medium","Grippy","Andro"
"Yasaka Rakza Z","84","98","87","89","Advanced","Normal","54.95","52","2.0mm, Max","Professional rubber description coming soon","","Hard","High","Tacky","Yasaka"
"Joola Micron","72","75","97","68","Beginner","Normal","24.95","43","1.8mm, 2.0mm, Max","Professional rubber description coming soon","","Soft","Medium","Grippy","Joola"
"Tibhar Evolution FX-P","84","90","93","80","Intermediate","Normal","59.99","43","1.7mm, 1.9mm, 2.1mm","Professional rubber description coming soon","","Soft","High","Grippy","Tibhar"
"Xiom Vega Europe","82","89","94","78","Intermediate","Normal","39.95","42","1.8mm, 2.0mm, Max","Professional rubber description coming soon","","Soft","Medium","Grippy","Xiom"
"Donic Acuda S2","86","91","90","83","Intermediate","Normal","49.95","45","1.8mm, 2.0mm, Max","Professional rubber description coming soon","","Mid-Soft","High","Grippy","Donic"
"Butterfly Sriver","68","70","97","64","Beginner","Normal","32.99","42","1.5mm, 1.7mm, 1.9mm, 2.1mm, Max","Professional rubber description coming soon","","Medium","Low","Grippy","Butterfly"
"Andro Rasanter V42","91","86","89","85","Intermediate","Normal","51.95","45","1.7mm, 2.0mm, Ultramax","Professional rubber description coming soon","","Mid-Soft","Low","Grippy","Andro"
"Victas Triple Double Extra","83","99","84","92","Advanced","Normal","49.99","53","2.0mm, Max","Professional rubber description coming soon","","Hard","High","Tacky","Victas"
"Stiga Mantra M","90","91","87","89","Intermediate","Normal","54.95","46","1.9mm, 2.1mm","Professional rubber description coming soon","","Medium","Medium","Grippy","Stiga"
"Palio AK47 Blue","80","78","92","75","Beginner","Normal","19.99","40","2.0mm, 2.2mm","Professional rubber description coming soon","","Soft","Medium","Grippy","Palio"
"Yinhe Mercury II","70","84","90","68","Beginner","Normal","14.99","45","2.2mm","Professional rubber description coming soon","","Medium","Low","Tacky","Yinhe"
"Yasaka Rakza 9","95","90","82","94","Advanced","Normal","52.95","50","2.0mm, Max","Professional rubber description coming soon","","Mid-Hard","Low","Grippy","Yasaka"
"DHS GoldArc 8","94","93","85","93","Advanced","Normal","54.99","49","2.0mm, Max","Professional rubber description coming soon","","Hard","Medium","Grippy","DHS"
"Butterfly Flextra","60","65","99","55","Beginner","Normal","19.99","42","1.7mm, 1.9mm, 2.1mm","Professional rubber description coming soon","","Soft","Low","Grippy","Butterfly"
"Tibhar Quantum X Pro","95","92","83","94","Advanced","Normal","56.95","48","2.0mm, Max","Professional rubber description coming soon","","Medium","Medium","Grippy","Tibhar"
"Joola Dynaryz ACC","96","95","82","96","Advanced","Normal","64.95","49","2.0mm, Max","Professional rubber description coming soon","","Mid-Hard","High","Grippy","Joola"
"Andro Hexer Grip","85","92","91","84","Intermediate","Normal","44.95","46","1.7mm, 1.9mm, 2.1mm","Professional rubber description coming soon","","Medium","High","Grippy","Andro"
"Victas V>01 Stiff","90","89","88","87","Intermediate","Normal","49.99","47","1.8mm, 2.0mm, Max","Professional rubber description coming soon","","Mid-Hard","Medium","Grippy","Victas"
"Donic BlueGrip C2","87","98","84","93","Advanced","Normal","59.95","52","2.0mm, Max","Professional rubber description coming soon","","Hard","High","Tacky","Donic"
"729 Focus III Snipe","76","80","94","72","Beginner","Normal","18.95","41","2.1mm","Professional rubber description coming soon","","Soft","Medium","Grippy","729"
"Stiga Genesis II M","84","94","89","85","Intermediate","Normal","49.95","48","2.1mm, Max","Professional rubber description coming soon","","Medium","High","Tacky","Stiga"
"Yasaka Mark V AD","72","74","95","68","Beginner","Normal","37.95","42","1.8mm, 2.0mm, Max","Professional rubber description coming soon","","Soft","Medium","Grippy","Yasaka"
"Butterfly Roundell","83","85","94","80","Intermediate","Normal","39.99","44","1.7mm, 1.9mm, 2.1mm","Professional rubber description coming soon","","Soft","Medium","Grippy","Butterfly"
"Xiom Omega VII Pro","97","94","80","96","Advanced","Normal","59.95","49","2.0mm, Max","Professional rubber description coming soon","","Hard","Medium","Grippy","Xiom"
"Andro Rasanter R37","82","91","95","76","Intermediate","Normal","51.95","43","1.7mm, 2.0mm, Ultramax","Professional rubber description coming soon","","Soft","High","Grippy","Andro"
"DHS Skyline TG3 Neo","83","96","86","88","Advanced","Normal","29.99","51","2.15mm","Professional rubber description coming soon","","Hard","Low","Tacky","DHS"
"Tibhar Aurus Soft","85","91","92","82","Intermediate","Normal","44.95","46","1.7mm, 1.9mm, 2.1mm","Professional rubber description coming soon","","Soft","High","Grippy","Tibhar"
"Nittaku Hurricane Pro 3","85","99","82","95","Advanced","Normal","59.99","52","2.0mm","Professional rubber description coming soon","","Hard","Low","Tacky","Nittaku"
"Gewo Neofaxx Advance","79","83","94","75","Beginner","Normal","34.99","45","1.7mm, 1.9mm, 2.1mm","Professional rubber description coming soon","","Medium","Medium","Grippy","Gewo"
"Victas Curl P1V","40","50","85","30","Advanced","Long Pimples","37.99","35","OX, 0.5mm, 1.0mm, 1.5mm","Professional rubber description coming soon","","Soft","Low","Long Pips","Victas"
"Donic Buster","88","65","88","85","Intermediate","Short Pimples","39.95","42","1.5mm, 1.8mm, 2.0mm","Professional rubber description coming soon","","Medium","Low","Short Pips","Donic"
"Andro Classic","50","40","98","45","Beginner","Short Pimples","24.95","35","OX","Professional rubber description coming soon","","Medium","Low","Short Pips","Andro"
"Butterfly Super Anti","35","20","99","25","Advanced","Anti","27.99","42","1.5mm, 1.9mm","Professional rubber description coming soon","","Medium","Low","Anti","Butterfly"